153.083		11.4428		-345.503
48.5485		11.9088		245.294
298.597		11.5613		-169.314
364.333		11.3939		138.992
-2.59757		11.1658		504.36
-67.6507		11.8531		257.648
-607.448		11.0197		-80.141
485.164		11.2206		-58.1846
135.996		11.3174		407.472
-241.103		10.9518		-607.865
-347.57		11.3117		-275.309
19.4213		11.1588		503.982
-380.258		11.2405		-281.077
-314.815		11.4317		230.206
-395.339		11.1436		-313.147
52.9832		11.145		501.546
-336.749		11.4896		142.987
-243.719		11.1475		460.748
-171.208		11.0074		-588.29
74.0977		12.2664		-165.351
577.458		11.012		204.811
-423.201		11.3027		-132.245
36.2258		11.1811		503.084
-369.896		11.111		390.778
37.3444		10.9779		-632.21
-78.9164		12.1744		-176.104
262.631		11.2996		-357.224
-464.974		11.0313		-336.733
-203.677		11.8369		171.635
597.521		10.9867		135.396
-211.911		11.8765		147.53
320.147		11.1265		-432.504
172.727		12.2663		-54.743
170.341		12.2671		41.8229
-525.564		11.0735		-231.167
-19.4212		11.1561		503.978
-159.601		11.9463		172.075
-18.6621		12.5423		131.879
208.346		12.0328		71.8197
139.731		11.1349		-502.139
434.848		11.1704		255.537
-155.749		12.235		92.4454
368.791		11.4041		162.267
-340.499		11.5456		43.2456
-145.041		11.2811		434.572
-469.948		11.1278		-262.117
-533.451		11.1053		-70.3779
-494.552		11.1672		99.0275
64.7414		11.8437		-258.376
-257.306		11.3339		-326.567
476.551		11.071		286.591
133.344		11.5855		304.772
69.6939		11.1879		499.56
58.6436		12.1972		177.598
497.113		11.1414		-85.0294
-472.818		11.0556		-325.684
652.836		10.9431		37.6651
451.023		11.1189		293.463
-102.564		12.3998		117.486
506.386		11.1011		-229.9
-214.333		11.3468		372.327
-175.385		11.7143		234.692
-545.008		11.0679		-180.595
433.539		11.1813		-257.782
136.725		12.0097		-181.928
316.175		11.1517		414.399
-108.502		11.5998		303.228
-2.00851		11.4193		389.98
181.715		12.2319		44.6155
-429.116		11.1032		324.621
-31.8456		11.3154		442.256
-86.3134		11.1584		496.915
-186.092		11.5624		288.441
297.961		11.2128		387.269
-339.651		11.3001		284.994
-447.428		11.0835		330.246
243.719		11.1484		460.749
370.459		11.1192		-366.615
-261.929		11.2987		340.437
91.804		12.038		-200.357
-67.5896		11.0438		-570.123
518.573		11.1057		143.539
555.467		11.0953		-27.001
525.759		11.0676		-181.129
-57.4507		11.3581		411.804
-45.8844		11.0966		-554.228
213.433		11.3724		356.858
-422.916		11.0561		361.046
61.2613		11.2939		439.116
438.571		11.0796		-341.913
-528.917		11.0468		269.096
-7.38933		12.2862		-175.292
-170.412		12.2964		41.8403
